image_id,image_category,neckline_left,neckline_right,center_front,shoulder_left,shoulder_right,armpit_left,armpit_right,waistline_left,waistline_right,cuff_left_in,cuff_left_out,cuff_right_in,cuff_right_out,top_hem_left,top_hem_right,waistband_left,waistband_right,hemline_left,hemline_right,crotch,bottom_left_in,bottom_left_out,bottom_right_in,bottom_right_out,category
train1/blouse/4d168d4176e5991a4f29c0d3ec0caf31.jpg,blouse,209_52_1,341_32_1,291_63_1,171_89_1,391_41_1,221_162_1,387_98_0,-1_-1_-1,-1_-1_-1,207_349_1,51_344_1,255_265_1,404_309_1,223_236_1,393_228_0,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/2a0e9097f56a96a341d916e274d5c82b.jpg,blouse,235_170_0,287_176_1,249_182_1,199_180_0,309_184_1,183_226_1,281_218_1,-1_-1_-1,-1_-1_-1,234_173_1,216_134_1,190_377_1,219_397_1,185_291_1,301_327_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/9869b0602206624f5aeeacc07df3dd6a.jpg,blouse,226_86_1,295_87_1,262_136_1,155_131_1,370_131_1,163_232_0,363_235_1,-1_-1_-1,-1_-1_-1,112_472_1,68_461_1,402_482_1,439_479_1,140_443_1,373_447_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/bb50d73601297b9b1a6573baa3e8f102.jpg,blouse,222_120_0,283_120_0,252_141_1,167_151_1,320_120_0,186_218_0,330_180_0,-1_-1_-1,-1_-1_-1,206_411_1,167_411_1,292_45_1,318_31_1,199_303_1,353_256_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/40b1f13aaf21da505caceec295cba7f4.jpg,blouse,150_139_1,200_160_0,172_162_1,111_158_1,231_192_1,105_216_1,207_253_0,-1_-1_-1,-1_-1_-1,40_373_1,7_366_1,198_187_1,222_186_1,49_351_1,164_373_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/01ca204b49153639c298137da5b85b4f.jpg,blouse,244_51_0,303_52_0,271_59_0,170_78_1,380_108_1,178_152_0,360_164_0,-1_-1_-1,-1_-1_-1,215_95_1,175_75_1,324_149_1,362_122_1,149_364_0,338_380_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/b026d0f386d22dd1824a4f43328422fe.jpg,blouse,197_179_1,308_188_1,253_192_1,171_193_1,334_201_1,175_259_0,319_273_0,-1_-1_-1,-1_-1_-1,185_409_0,175_427_0,328_452_1,351_458_1,182_380_1,320_410_0,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/2728ffc1f9ea2db7bc38fc746a45d0ce.jpg,blouse,247_139_0,332_132_1,278_158_1,198_166_1,359_162_1,212_221_0,314_218_0,-1_-1_-1,-1_-1_-1,143_248_1,123_282_1,243_310_1,242_349_1,214_333_0,356_351_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/1d348262d08fe960078e77c82a07ff3a.jpg,blouse,190_104_1,329_103_1,258_187_1,144_119_1,380_127_1,160_248_0,362_242_0,-1_-1_-1,-1_-1_-1,129_414_1,40_368_1,383_413_1,473_377_1,144_448_1,376_448_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/bb4631deaaaab11e1a7c64b612e5a9a8.jpg,blouse,231_134_1,290_133_1,284_196_1,176_182_1,334_163_1,208_279_1,326_242_0,-1_-1_-1,-1_-1_-1,182_326_1,157_326_1,326_260_0,342_262_0,235_431_1,311_344_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/dddeddf4f7e4bc75dff3ecdd3472c35e.jpg,blouse,187_118_1,295_121_1,240_168_1,147_134_1,331_132_1,162_238_1,326_227_1,-1_-1_-1,-1_-1_-1,145_329_1,112_281_1,347_325_1,375_275_1,146_449_1,340_454_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/7076e8ecc81565bcb00dac192b4eec33.jpg,blouse,267_140_1,338_179_1,286_170_1,232_132_1,361_204_1,152_218_1,277_297_0,-1_-1_-1,-1_-1_-1,199_92_1,175_67_1,200_456_1,249_486_1,97_388_1,244_441_0,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/b9905076b86b62f2a560076dd51ac622.jpg,blouse,160_84_1,344_86_1,252_174_1,111_107_1,393_114_1,114_303_1,406_306_1,-1_-1_-1,-1_-1_-1,100_302_1,45_188_1,423_300_1,471_185_1,112_420_1,416_417_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/9e2149924d78da074dce085ec7286ff9.jpg,blouse,193_73_1,305_77_1,246_138_1,130_138_1,365_128_1,135_234_0,361_220_0,-1_-1_-1,-1_-1_-1,114_500_1,74_493_1,394_498_1,436_491_1,147_493_1,365_493_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/203f7703bcce6d3a952a2b36f13b99a5.jpg,blouse,219_150_1,318_124_1,263_143_1,193_169_1,345_133_1,187_232_0,323_240_1,-1_-1_-1,-1_-1_-1,175_351_0,159_356_1,315_293_1,346_336_1,173_366_1,351_383_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/c9d01a9ee9e7f646463d32453b551d8a.jpg,blouse,128_66_1,210_66_1,172_114_1,33_141_1,311_131_1,61_259_1,291_259_1,-1_-1_-1,-1_-1_-1,72_471_1,42_454_1,310_455_1,330_443_1,110_392_1,252_390_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/8ed71d6a7a6539d240163e165818dc38.jpg,blouse,232_137_1,278_134_0,252_146_1,177_163_1,353_161_1,194_224_1,327_218_1,-1_-1_-1,-1_-1_-1,185_359_0,169_366_1,290_389_1,310_401_1,178_358_1,326_359_0,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/17116bf4219c0f7ccbbde57d46829f10.jpg,blouse,201_132_0,278_116_1,236_149_1,158_149_0,314_129_1,168_249_1,316_224_1,-1_-1_-1,-1_-1_-1,184_119_1,149_104_1,343_370_1,377_362_1,211_403_1,351_391_0,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/fc8d1bdda4d89b5df2121363ae7005c0.jpg,blouse,205_154_1,308_169_1,265_171_1,153_167_1,348_193_1,176_274_1,318_299_1,-1_-1_-1,-1_-1_-1,190_481_1,140_490_1,331_475_0,357_472_0,176_414_1,352_399_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/8df2a57e21ec1abf3b9b08682df5b774.jpg,blouse,206_192_1,311_183_0,261_200_1,163_215_1,382_194_1,225_263_0,365_258_0,-1_-1_-1,-1_-1_-1,336_160_1,308_159_1,327_174_0,346_173_1,189_492_1,391_463_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/26640efba4d12501700bfccb03c3730d.jpg,blouse,188_31_1,275_32_1,232_50_1,111_51_1,351_63_1,135_132_1,323_141_1,-1_-1_-1,-1_-1_-1,93_413_1,62_408_1,351_412_1,386_412_1,125_258_1,325_261_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/62534107cd4ac84aced6514b4dd1a4fb.jpg,blouse,228_97_1,288_95_1,258_133_1,166_135_1,346_133_1,177_212_0,344_203_0,-1_-1_-1,-1_-1_-1,143_482_1,88_472_1,380_478_1,429_471_1,171_414_1,364_410_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/902532bc27838fc70f6e5290777565d5.jpg,blouse,230_97_0,284_92_0,254_101_0,201_111_1,310_104_1,210_151_1,305_140_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,175_263_1,343_249_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/bf763d27bd0b2f4604f1af3eeb9718ba.jpg,blouse,234_164_1,312_163_0,269_197_1,183_176_1,355_193_0,186_290_0,362_299_0,-1_-1_-1,-1_-1_-1,151_476_1,85_463_1,314_288_1,361_194_1,182_386_1,336_406_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/60f1ca0a7fa9fed824398b5a8ad9dce0.jpg,blouse,224_37_1,292_39_1,257_56_1,129_95_1,380_101_1,145_207_1,357_215_1,-1_-1_-1,-1_-1_-1,139_498_1,50_502_1,360_502_1,439_496_1,165_447_1,331_453_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/566d9ec7d15301d390b5986c55593c3c.jpg,blouse,221_120_0,283_123_1,261_138_1,177_147_1,328_150_1,205_198_1,325_198_1,-1_-1_-1,-1_-1_-1,249_411_1,176_417_1,338_417_1,389_405_1,223_308_1,326_315_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/31df7bf378fff5925aef6eb1a81dfa21.jpg,blouse,201_55_1,308_57_1,259_110_1,134_110_1,372_109_1,148_226_1,361_223_1,-1_-1_-1,-1_-1_-1,131_474_1,95_471_1,371_473_1,411_472_1,155_467_1,355_467_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/2669f3f89c92cec183e48beeb8e9eeb3.jpg,blouse,212_131_1,290_124_1,260_147_1,179_146_1,328_137_1,192_212_1,318_202_0,-1_-1_-1,-1_-1_-1,184_299_1,144_301_1,321_298_0,344_295_1,187_336_1,334_353_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/78e5d630ca35a33a5a0836a87c23850d.jpg,blouse,247_113_0,308_103_1,279_118_1,191_128_1,366_142_1,186_203_0,352_226_0,-1_-1_-1,-1_-1_-1,173_270_1,146_275_1,358_279_1,385_285_1,162_452_1,338_400_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/1937d26e40989e22c19e6a94891b2d24.jpg,blouse,203_64_1,315_66_1,261_167_1,155_99_1,369_99_1,153_207_0,368_209_0,-1_-1_-1,-1_-1_-1,146_446_1,98_430_1,383_441_1,419_425_1,197_425_1,329_425_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/1f49bef9879b0be6ddf09e504e7ea013.jpg,blouse,222_37_1,326_39_1,272_80_0,144_63_1,379_80_1,160_182_0,374_174_0,-1_-1_-1,-1_-1_-1,195_351_1,160_385_1,336_174_1,378_142_1,151_404_1,347_375_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/4b57ed9782b730bf60651ed4791c7190.jpg,blouse,224_118_1,339_105_1,286_131_1,197_138_1,371_118_1,239_271_1,362_253_1,-1_-1_-1,-1_-1_-1,249_395_1,178_392_1,386_387_1,439_353_1,254_390_1,379_366_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/61b420d3c23e07af82a05aacbac4edf6.jpg,blouse,195_143_0,281_144_1,234_200_1,164_151_1,311_157_1,186_215_0,287_212_0,-1_-1_-1,-1_-1_-1,188_266_1,151_260_1,286_249_0,315_251_1,166_328_0,306_327_0,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/cbb72d368397ff5676a003a9e84f6556.jpg,blouse,196_60_1,300_57_1,249_206_1,129_95_1,365_92_1,110_202_1,392_201_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,115_463_1,390_462_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/1371e0cb1a3f7fc1c1ab29631fbffeaf.jpg,blouse,114_83_1,221_82_1,167_110_1,67_110_1,272_110_1,63_218_1,278_213_1,-1_-1_-1,-1_-1_-1,42_469_1,8_462_1,303_464_1,332_458_1,84_397_1,272_386_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/41175e596d29d3ea00f782dd29f10e8d.jpg,blouse,151_149_1,193_142_1,168_150_1,131_165_1,219_152_1,119_204_1,225_208_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,98_355_1,229_352_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/fce469f01470eb6221e118b90b7b919c.jpg,blouse,288_126_1,339_133_1,319_150_1,232_144_1,389_179_1,240_203_0,362_228_0,-1_-1_-1,-1_-1_-1,250_389_1,230_394_1,331_390_0,346_398_0,198_380_1,348_385_0,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/b83c32c6230d173e42f6c29957833a19.jpg,blouse,216_131_0,297_133_0,256_186_1,168_149_1,347_150_1,176_221_0,333_224_0,-1_-1_-1,-1_-1_-1,107_427_1,81_415_1,404_420_1,428_411_1,155_466_1,361_464_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/6b7a8f3ca4aafd8f2c9002f903053c85.jpg,blouse,180_50_1,333_48_1,251_121_1,130_76_1,381_79_1,139_187_1,365_178_0,-1_-1_-1,-1_-1_-1,70_438_1,15_409_1,437_441_1,484_408_1,98_458_1,415_457_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/4f613101e1f23b3ac9e33fdd3e42b9f7.jpg,blouse,177_81_1,322_80_1,248_117_1,114_114_1,394_111_1,98_256_1,416_252_1,-1_-1_-1,-1_-1_-1,111_471_1,72_466_1,405_471_1,446_467_1,168_490_1,354_492_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/43cae3d16f9436fd7932b96890e733b4.jpg,blouse,244_87_0,275_87_0,259_91_1,214_98_1,310_97_1,217_164_0,298_161_0,-1_-1_-1,-1_-1_-1,215_236_1,199_242_1,306_249_1,322_250_1,212_256_0,308_260_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/1a82e6106fbf4ff176c73860f9dd0ee0.jpg,blouse,256_76_1,324_91_1,273_150_1,199_102_1,372_146_1,183_166_0,347_207_0,-1_-1_-1,-1_-1_-1,142_295_0,109_270_1,331_352_1,381_356_1,103_367_1,312_423_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/09f416fd8cd7a8e3c5c3f47c0dd31663.jpg,blouse,193_63_1,319_67_1,253_135_1,151_88_1,359_88_1,148_221_0,366_219_0,-1_-1_-1,-1_-1_-1,158_451_1,83_433_1,357_457_1,428_435_1,162_435_1,339_436_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/14f068d932d7fc9345204e73bbd2a32d.jpg,blouse,213_210_0,264_197_1,240_210_1,157_238_1,312_204_1,178_318_1,307_274_0,-1_-1_-1,-1_-1_-1,239_306_1,160_242_1,372_471_1,422_441_1,197_430_1,338_397_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/e13a5734084c1ff00137ff3bf233fe88.jpg,blouse,208_10_1,274_14_1,235_63_1,91_66_1,384_72_1,91_192_0,367_185_0,-1_-1_-1,-1_-1_-1,46_448_1,8_420_1,447_443_1,476_425_1,128_459_1,351_451_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/0884bfdecd2ba6f3be3c3ad1868c1a13.jpg,blouse,211_147_0,277_150_0,245_159_1,170_165_1,314_166_1,192_211_1,299_218_1,-1_-1_-1,-1_-1_-1,177_380_1,158_383_1,299_340_0,320_349_1,183_373_1,315_353_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/5f7edc2c243408b9ade36b8cc816bb05.jpg,blouse,152_56_1,279_54_1,212_108_1,93_81_1,331_71_1,90_184_0,338_199_0,-1_-1_-1,-1_-1_-1,70_333_1,45_332_1,340_339_1,371_343_1,49_501_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/5a9f98e1a3aee728b8e6b6c7a03e408c.jpg,blouse,279_165_1,345_198_1,276_219_1,246_163_1,373_223_1,206_223_1,329_261_0,-1_-1_-1,-1_-1_-1,206_225_1,200_158_1,305_282_1,374_290_0,179_330_1,287_389_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/bf957333008c17dfc02f0c659e41cc74.jpg,blouse,222_129_1,277_123_1,252_138_1,155_176_1,352_167_1,191_222_1,326_201_1,-1_-1_-1,-1_-1_-1,230_311_1,238_344_1,327_302_1,334_332_1,195_451_1,357_426_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
train1/blouse/b513edcc26220aac8927ecdb19056841.jpg,blouse,223_89_1,305_88_1,267_151_1,157_130_1,373_125_1,170_215_0,365_215_0,-1_-1_-1,-1_-1_-1,156_483_1,112_490_1,380_479_1,428_482_1,182_373_1,357_368_1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,-1_-1_-1,blouse
